text,label
ধর্মীয় বইগুলোকে বলা হচ্ছে উগ্রবাদী বই। ,Religious
দাদা! নৌকা কিন্তু চলে না। এমাসে কম দিয়েছেন ১৯ হাজার কিউসেক পানি। নদীতে পানির কি দরকার! বন্ধুত্বে তো জোয়ার বইছে।,Geopolitical
"দম্ভ ও অহংকার পতনের মূল, জাতি দম্ভ দেখেছে এখন পতন দেখতে চায়। ",Geopolitical
বিএনপি জামাতের আগুন সন্ত্রাস। রাজধানীতে বাসে আগুন দেয়ার ঘাঁনয় বিএনপি জামাতের ১০ জন আটক।,Geopolitical
পুলিশকে ২০ দলের হুশিয়ারী বেশি বাড়াবাড়ি করলে তাদের বাড়ীতে বাড়ীতে আক্রমন করা হবে। ,Geopolitical
"চুইংগাম চিবানোর সময় পাকস্থলিও কনফিউজড হয়ে যায়, ৩ ঘন্টা ধরে কী চিবুচ্ছে? এখনো নিচে আসে না কেন? ",Neutral
পি করে আসার পর রাগের মাথায় নুনু তে কয়ডা থাপ্পর মারলাম। ,Neutral
"গ্রাম থেকে এসেই চাচাতো ভাই চুরি করা শুরু করছে দেখে, আব্বু আর চাচাতো ভাই। ",Personal
আনুশকা ও দিহানের গোপন ভিডিও নিয়ে মামুনুল হক কি বললো দেখুন ভিডিওতে। ,Personal
ব্যাচেলর ছেলেকে বাসার ছাদে দুই বালতি ভেজা কাপড় শুকাতে দিতে দেখার পর। ,Neutral
পর্ণ দেখা অপরাধ নয়। তাহলে পর্ণ দেখলে কি হবে? ,Personal
"বাংলাদেশে করোনায় মৃতদের লাশ কবরস্থ না করে পুড়িয়ে ফেলা যেতে পাওে, বানীতে-খানকি ফারজানা রুপা।",Personal
"ফেনীতে পেট্রোলবোমাসহ আওয়ামীলীগ নেতার ভাতিজা আটক, কেমনে কি? ",Geopolitical
এরপর যখন শুনি আব্বু চাচাতো ভাইকে বাড়ি থেকে বের করে দিয়েছে তখন আমি। ,Neutral
দিহান এবং আনুশকার ঘটনা থেকে আমরা কি শিক্ষা পেলাম? ,Personal
"আমরাই সেই জাতি যেখানে শিক্ষিতরা রাস্তায় ময়লা ফেলে, আর অশিক্ষিতরা তা পরিস্কার করে! ",Neutral
কানের নিচে একটা দিমু। একদম কান থেকে রক্ত বের হয়ে যাবে। ,Personal
"যখন ঘুরতে যাওয়ার কথা বলে, লিটনের ফ্লাটে গিয়ে বয়ফ্রেন্ড তার ঝুনঝুনি দেখিয়ে দেয়। ",Personal
আমার ন্যাংটা ছবি তুলছে। এখন আর কিছুই করার নাই। ,Personal
বুয়েট ছাত্র আবরার ফাহাদের খুনী। ,Personal
"নারী কিংবা পুরুষ যে কোনো অপরাধী ধরা পড়লে কাদের ভাইয়ের সাথে ছবি পাওয়া যায়,এটা গভীর ষড়যন্ত্র। ",Neutral
"মা, আমি সবাইকে চিনতে পারছি। ",Neutral
তারপর আলগা ভাব নিয়ে ঐ মেয়েটার সামনে যেতে লাগলাম। ,Neutral
তাতে আমার বাল ছেড়া গেলো। ,Personal
যখন মাঝ রাতে হিসি করতে উঠে দেখো তোমার সামনে সাদা শাড়ি পড়ে কেউ দাড়িয়ে আছে। ,Neutral
রাস্তায় হাটার সময় যখন কোনো সুন্দরী মেয়ে তাকিয়ে মুচকি হাসি দেয়। ,Neutral
"হাওলাতের মায়রে চুঁদি, বাকীর মায়রে চুঁদি, পীরিতের মায়রে চুঁদি। ",Personal
মেলায় হারিয়ে যাওয়া দুই গাঁজাখোর ভাই। ,Personal
ধর্ম যার যার উৎসব সবার এটা ইসলাম বিরোধী উক্তি। ধর্ম যার যার উৎসব তার তার।,Religious
চট্টগ্রামের প্রাণকেন্দ্র আগ্রাবাদে দেশদ্রোহী দালাল পত্রিকা প্রথম আলো পুড়িয়ে ক্ষোভ প্রকাশ।,Personal
সারা ভারত জঙ্গিদের জাল বিস্তীর্ণ এদরে জাল বিস্তারে সাহায্য করেছে আমাদের কিছু সেকুলার। ,Geopolitical
আনুশকার সাথে দিহান যেভাবে করেছে সিসি টিভি ফুটেজ। ,Personal
কুলাঙ্গার মেজর শাকিলের জীবন কাহিনী। ,Personal
"পাকিস্তানীরা বাংলাদেশের স্বাধীনতা মেনে নেয়নি, কখনো নেবে না। পাকিস্তানি দালালরা আজীবন আমাদের মুক্তি যুদ্ধের বিরুদ্ধে থাকবে। ",Geopolitical
শাহবাগের উগ্র ইসলাম বিদ্বেষ উম্মোচিত। ,Religious
দৈনিক ৫ ওয়াক্ত নামাজ এভাবেই ডিপ্রেশনকে দূর করে দেয়। ,Neutral
সড়ক দুর্ঘটনা। দিন দিন বেড়েই্ চলেছে। ,Neutral
"হ, ভাই হাসপাতাল থেকে আসলাম মাত্র। ",Neutral
"আগের মহিষাসুর কে দেখলে বাচ্চাদের ভয় পেয়ে জ¦র উঠে যেত,  আর এখনের মহিষাসুর কে দেখে মেয়েরা ক্রাশ খাচ্ছে। ",Neutral
আওয়ামীলীগ মানেই ভোটচোর। এদের কে হোগা মেরে দেওয়া উচিৎ। ,Geopolitical
বাংলাদেশে রোহিঙ্গাদের অসহায় আর্তনাদ। ,Geopolitical
এটা খাদ্য না অত্যাচার। এটা খাদ্য নামের অখাদ্য। এ থেকে আমি বাচতে চাই। ,Personal
তীব্র প্রতিক্রিয়া সুর নরম করতে বাধ্য হলেন ম্যাক্রো। ফ্রান্সবিরোধী বিক্ষোভ করে বিপদে ভারতীয় মুসলিমরা। ,Geopolitical
"পাকিস্তানের প্রেতাত্মারা পাকিস্তানে ফেরত যা, মুক্তিযুদ্ধের বাংলায় রাজাকারের ঠাই নাই। ",Geopolitical
প্রদীপ এর সমস্ত কুকীর্তি ফাঁস লাখ লাখ টাকার কাল ব্যবসা।,Personal
বাদরের মাথায় ও এত বাদরামী থাকে না যেমন থাকে ছোট ছেলেদের মাথায়। ,Neutral
"মেরেছে কলসীর কানা, তাই বলে কি প্রেম দেব না। পেঁয়াজ না দিক, তাই বলে কি ইলিশ দেব না।",Personal
এখানে কতোগুলো আঙুল আছে কে কে বলতে পারবে?,Neutral
কিছু কিছু মেয়েদের ন্যাকামো দেখলে ঠিক এই ভাবে কেলাতে ইচ্ছা করে। ,Personal
"একজন মানবিক সিরিয়াল বলাতকার কারীর ইতিহাস, ছাত্রদের কষ্ট আমি বুঝ, ওরা যাতে ব্যাথা না পায় তাই থুথু দিয়া করি। ",Personal
"বাডি লোশন খুঁজে না পেয়ে আম্মুর ফেয়ারনেস ক্রিম মেখে ধরা খাওয়ার পর, আমি যা করছি নিজেরে বাঁচানোর জন্য করছি। ",Neutral
খালেদা জিয়ার মুক্তি নিয়ে অবাক করা কিছু কথা বললেন সাংবাদিক ইলিয়াস হোসাইন। ,Personal
হোম ডেলিভারি বলতে আমরা যা বুজি। এমন হলে আসলেই কেমন হবে? ,Neutral
"যখন কেউ বলে অস্ত্রের চাইতে কলম বড়, তখন অস্ত্রধারী বলে, আসেন ভাই টেস্ট কইরা দেখি। ",Personal
"গাছের জীবন লতা পাতা, মাছের জীবন পানি।  ছেলেদের জীবন টাকা পয়সা, মেয়েদের জীবন স্বামী। ",Neutral
তোমার নাম কোথায় লেখব হাতে না হৃদয়ে? তোমার বাপের সম্পত্তির দলিলে। ,Neutral
"দক্ষিন অঞ্চলে যখন পদ্মা সেতু দৃশ্যমান তখন অন্যান্য অঞ্চলের মানুষ, তাতে আমাদের বাল ছেড়া গেছে। ",Personal
"বিরোধীদলের বেলায় অনুমতি নাই, সরকারি দলের জন্য পথ বাতলে দেয পুলিশ। ",Geopolitical
তোগো কথা কি কমু হালা! তোরা না সারাদিন সারাদিন সিরিয়ার দেখোস?,Personal
বাংলাদেশে পানি সংকটের কারণ কি জানেন? শীতকালে যারা গোসল করে তারাই এর কারণ। ,Neutral
"ইয়াবা সম্রাট বদির গলায় ফুলের মালা, আর ঐশির গলায় ফাঁসি। ",Personal
মসজিদে জিলাপী বিতরনকারী ব্যক্তি ও মসজিদের মুসল্লীগন। ,Neutral
যখন যানতে পারি ছোটভাই উল্টাপাল্টা ফোন টিপে মেমোরি ফরমেট করে ফেলছে। ,Personal
জীবনে কথা কওয়ার আগে হিসাব কনরা কথা কবি কারে কি কইতাছোস। ,Personal
"সময়ের বিবর্তনে মানুষ যখন শেখ মুজিবের ছবিতেও জুতা নিক্ষেপ করবে, তখন কি কারো চেতনায় লাগবে? ",Geopolitical
মনে পড়লেও আজকে তোমায় মনে করা বারন। ,Neutral
"মুখ খুলেছে দিহানের সহপঠী। দিহানের আর রক্ষা নাই, বাচার আর কোনো রাস্তা থাকলো না। ",Personal
প্রেম করার অনেক চেষ্টা করেও যখন আপনার বন্ধুরা ব্যর্থ হয়। ,Neutral
সীমান্ত খোলা রেখে বিজিবি শহরের রাস্তায় রাস্তায় কেন? ,Geopolitical
"হুমকির ভয় আমি করি না, জীবন থাকতে সত্য বলা বন্ধ করা যাবে না। ",Personal
"যে মেয়ের কলম কামড়ানোর অভ্যাস আছে, তাকে ভুলেও বিয়ে করবেন না। মনে রাখবেন, একটি দূর্ঘটনা সারা জীবনের কান্না। ",Neutral
ঢাবিতে হিজাব করায় এক ছাত্রীকে ক্লাস থেকে বের করে দিলেন শিক্ষক। ,Religious
"একদিন মমতাদিকে যখন বললাম, আচ্ছা দিদি তোমার বরের চাকরী হলে তুমি কি করবে? তখন মমতাদি। ",Neutral
"পহেলা বৈশাখ পালনে ঈমান নষ্ট হয় না। যে দেশে ইনুর মত মাওলানা থাকে, সেই দেশে শয়তানের দরকার নাই।",Religious
"রেজাল্টের পর মিষ্টি খাবে বলে চিল্লাতে থাকা আমার বান্ধবী, মিষ্টি খাওয়াবো না বলে ৩ বিষয়ে ফেল করা আমি। ",Neutral
কোটা আন্দোলনের সেই চার নেতাই সক্রিয় নেতাই সক্রিয় শিবির কর্মী। ,Political
"শীতকালে বাংলাদেশে সর্বাধিক ব্যবহৃত কিছু জিনিস। যেমন, বউ,কোলবালিশ, ইত্যাদি।  ",Neutral
কি ব্যাপার ব্রো! তোমার কোলবালিশ এ সাদা সাদা ওসব কিসের দাগ? ,Neutral
তর কি ব্রা লাগব? দুধ গুলা তো মাগার অনেক বড় হইছে। ,Personal
রাত ২ টায় তুমি ও তোমার বন্ধু ছাদে কথা বলতে বলতে তুমি বিড়ি ধরাও তখনই তোমার বন্ধু আচমকা উধাও হয়ে যায়। ,Personal
"তোর দাম মাত্র ৫০০ টাকা, তোরে আমি দেইখা ছাড়মু। ",Personal
"পুলিশ সুপারের বরাবর অভিযোগ দায়ের, কি ব্যবস্থা নিবে কর্তৃপক্ষ? ",Personal
"এই নে দোস্ত তোর চা, রং চা কেন দোস্ত! ভাবি বাসায় নেই? ",Neutral
উচ্চ  শিক্ষার জন্য আর নয় বিদেশ এখন থেকে ঘরে বসেই উচ্চ শিক্ষা লাভ করুন। ,Neutral
"ছোট বেলায় যাদের সাথে বউ জামাই খেলাতাম, তারা সবাই বউ হয়ে গেছে । শুধু আমি জামাই হতে পারলাম না। ",Neutral
"মাফ চাই ভাই আর চাইনা ট্যাগলিস্টের ৩য় ব্যক্তি, ব্যাটারি% অনুসারে বিয়ে এসব মিম। ",Neutral
বিদায় বেলায় হাসিনা ও জয়ের হরিলুট। ,Political
বিচারপতি সিনহাকে স্বাধীনতা বিরোধী অপরাধী বললেন শেখ হাসিনা। ,Geopolitical
এ তো সুপারম্যান সালমান খানের ফ্যান। ,Neutral
"তেমন কিছু না, নভেম্বরের যোদ্ধারা ১ লা ডিসেম্বরে,আজ সারাদিন আমি মেলা কাম করছি। ",Neutral
বিচারপতি নিজেই চোর। তিনি আবার কি বিচার করবেন?,Personal
বাংলাদেশ-ভারত সীমান্তে সহিংসতা জানুয়ারি-নভেম্বর ২০২০,Geopolitical
"গোসল করতে গিয়ে মরে যাওয়া দাদার আত্মা, কর কর কিচ্ছু হবে না। ",Personal
কিছু বিখ্যাত মানুষ ও তারা যা বন্ধ করেছেন। ,Neutral
খাজা বাবার বাড়িতে গভীর রাতে ৭০ জন যুবক। কারণ কি? ,Personal
ধর্ষণ সম্পর্কে ভয়ংকর তথ্য দিলেন পুলিশ। ,Personal
নওমুসলিম ওয়াসেক বিল্লার হৃদয় বিদারক সাক্ষাৎকার। ,Personal
৫ বছর ফ্যানের ভাত আর ডিম ভাজা খাওয়ার পর। ,Neutral
অংকের এই অধ্যায়টা কতটা গুরুত্বপূর্ণ তা বুঝাতে থাকা স্যার। ,Neutral
ও নিশ্চয়ই অন্য মেয়ের কথা ভাবতেছে। আমার ছেলে যদি গীর্জার পাদ্রী হয়ে যায় তাহলে তাকে ফাদার ডাকবো নাকি নাম ধরে ডাকবো? ,Neutral
"২য় পার্ট নিয়ে চিল্লাতে থাকা আপনারা, আর ২য় পার্ট দেরিতে আসবে কিভাবে বলবো ভাবতে থাকা আমি। ",Neutral
"এখনই তুই বাংলা ছাড়,ভারতীয় রাজাকার। ",Geopolitical
তুমি কি আমার চেয়ে বড় আলেম? তোমার বাপ পিটাইয়া মাদরাসায় পড়াইছে। ,Personal
দারুন অফার ২৯৯ টাকা রিচার্জে একটি বউ ফি মেয়াদ ৩ দিন। ,Neutral
যখন বন্ধুদের সামনে পকেট থেকে দশ টাকার নোটের বদলে ১০০ টাকার নোট বেরিয়ে আসে। ,Neutral
"মেকাপ করা একটি আর্ট, যা ছেলেরা পাওে না তাই হিংসায় জ¦লে পুড়ে মরে।",Personal
"এই মেয়ে, তুমি কি আমার সঙ্গী হবে? ",Neutral
মুরব্বী: বিয়ে করো না কেন? বয়স তো কম হইলো না। মাইয়া মানুষ হইলো দুনিয়ায় ভেজাইলা এইজন্যই বিবাহ করি না।,Personal
"জামাই কল দিয়ে, বাসায় আসতেছি খাবার টা গরম করে রাখো, তখন সদ্য বিয়ে হওয়া নিব্বি। ",Neutral
"তুহিন মালিক ইসলামের দুশমন, ফরীদ উদ্দীন মাসউদ আওয়ামীলীগের বন্ধু।",Religious
প্রতিটি মেয়ে তার স্বামীর কাছে রাণী হতে পারে না। কিন্তু সর্বদা তার বাবার কাাছে রাজকুমারী হয়ে থাকে। ,Neutral
"আতংকের বাংলাদেশ, বয়কট নৌকা, এই মার্কা গুম, খুন, অপহরণের প্রতীক। ",Geopolitical
চোদানির পোলা গাজা মাজা খাইয়াছো নি চোদানির পোলা? ,Personal
"মোদির দুই গালে, জুতা মারো তালে তালে। ",Political
"যখন রাস্তায় এলাকার এক ছোট ভাইকে তার গফ এর সাথে ঘুরতে দেখি, কিন্তু এতো বড় হয়েও আজ পর্যন্ত কোন মেয়েকে পটাতে না পারা আমি। ",Neutral
মারামারি করে স্কুলের বেঞ্চ ভেঙ্গে ফেলার পর যখন হেড স্যার ডেকে পাঠায়। ,Neutral
"ছাদে কাপড় শুকাতে গিয়ে ধর্ষণের শিকার, লজ্জায় আত্মহত্যা কলাবাগানে। ",Personal
"মাইরে চুদি, মাইরে চুদি, মাইরে চুদি।",Personal
"পদ্মা সেতুর উন্নয়নের ক্রেডিট নিবে আওয়ামীলীগ, তরিকুল ইসলামের ভাঙ্গা পায়ের ক্রেডিট কে নিবে? ",Geopolitical
তুই কিসের জাঙ্গিয়া পড়স? রুপার। তাইলে রূপা কি পড়ে? হারামজাদা রূপা কোম্পানির নাম। ,Personal
